省份编码,省份,年份,公共广播节目套数(套),全年公共广播节目播出时间(小时),全年制作广播节目时间(小时)
110000,北京市,2019,26,,
110000,北京市,2018,26,,
110000,北京市,2017,26,,
110000,北京市,2016,26,,
110000,北京市,2015,25,,
110000,北京市,2014,25,,
110000,北京市,2013,25,,
110000,北京市,2012,25,172170,135139
110000,北京市,2011,18,120291.533333333,118222.1
110000,北京市,2010,18,118558.45,143678
110000,北京市,2009,18,115551.45,103132
110000,北京市,2008,17,108858.066666667,104086
110000,北京市,2007,,,
110000,北京市,2006,,,
110000,北京市,2005,,,
110000,北京市,2004,,,
110000,北京市,2003,,,
110000,北京市,2002,,,
110000,北京市,2001,,,
110000,北京市,2000,,,
120000,天津市,2019,22,,
120000,天津市,2018,22,,
120000,天津市,2017,22,,
120000,天津市,2016,22,,
120000,天津市,2015,22,,
120000,天津市,2014,22,,
120000,天津市,2013,23,,
120000,天津市,2012,22,144377,75809
120000,天津市,2011,22,138051.25,75572.6166666667
120000,天津市,2010,22,133283.416666667,76124
120000,天津市,2009,21,127264.333333333,76127
120000,天津市,2008,22,140741.5,75744
120000,天津市,2007,,,
120000,天津市,2006,,,
120000,天津市,2005,,,
120000,天津市,2004,,,
120000,天津市,2003,,,
120000,天津市,2002,,,
120000,天津市,2001,,,
120000,天津市,2000,,,
130000,河北省,2019,181,,
130000,河北省,2018,169,,
130000,河北省,2017,153,,
130000,河北省,2016,134,,
130000,河北省,2015,134,,
130000,河北省,2014,137,,
130000,河北省,2013,133,,
130000,河北省,2012,131,636622,327559
130000,河北省,2011,129,607266.266666667,320011.35
130000,河北省,2010,125,584136.283333333,310045
130000,河北省,2009,121,552470.866666667,291075
130000,河北省,2008,109,488935.566666667,271328
130000,河北省,2007,,,
130000,河北省,2006,,,
130000,河北省,2005,,,
130000,河北省,2004,,,
130000,河北省,2003,,,
130000,河北省,2002,,,
130000,河北省,2001,,,
130000,河北省,2000,,,
140000,山西省,2019,135,,
140000,山西省,2018,125,,
140000,山西省,2017,119,,
140000,山西省,2016,111,,
140000,山西省,2015,111,,
140000,山西省,2014,112,,
140000,山西省,2013,111,,
140000,山西省,2012,108,377519,164197
140000,山西省,2011,108,378028.05,162885.466666667
140000,山西省,2010,104,371296.05,153874
140000,山西省,2009,101,356657.083333333,153619
140000,山西省,2008,100,347419.75,159329
140000,山西省,2007,,,
140000,山西省,2006,,,
140000,山西省,2005,,,
140000,山西省,2004,,,
140000,山西省,2003,,,
140000,山西省,2002,,,
140000,山西省,2001,,,
140000,山西省,2000,,,
150000,内蒙古自治区,2019,123,,
150000,内蒙古自治区,2018,125,,
150000,内蒙古自治区,2017,126,,
150000,内蒙古自治区,2016,126,,
150000,内蒙古自治区,2015,126,,
150000,内蒙古自治区,2014,125,,
150000,内蒙古自治区,2013,125,,
150000,内蒙古自治区,2012,124,667460,262473
150000,内蒙古自治区,2011,121,649529.6,245187.1
150000,内蒙古自治区,2010,126,635986.8,227323
150000,内蒙古自治区,2009,126,617769.7,237383
150000,内蒙古自治区,2008,119,571470.766666667,198105
150000,内蒙古自治区,2007,,,
150000,内蒙古自治区,2006,,,
150000,内蒙古自治区,2005,,,
150000,内蒙古自治区,2004,,,
150000,内蒙古自治区,2003,,,
150000,内蒙古自治区,2002,,,
150000,内蒙古自治区,2001,,,
150000,内蒙古自治区,2000,,,
210000,辽宁省,2019,109,,
210000,辽宁省,2018,109,,
210000,辽宁省,2017,111,,
210000,辽宁省,2016,110,,
210000,辽宁省,2015,110,,
210000,辽宁省,2014,110,,
210000,辽宁省,2013,110,,
210000,辽宁省,2012,115,700601,432646
210000,辽宁省,2011,118,722902.75,442709.25
210000,辽宁省,2010,118,715680.066666667,457602
210000,辽宁省,2009,118,698469.9,548455
210000,辽宁省,2008,118,679549.983333334,471941
210000,辽宁省,2007,,,
210000,辽宁省,2006,,,
210000,辽宁省,2005,,,
210000,辽宁省,2004,,,
210000,辽宁省,2003,,,
210000,辽宁省,2002,,,
210000,辽宁省,2001,,,
210000,辽宁省,2000,,,
220000,吉林省,2019,82,,
220000,吉林省,2018,80,,
220000,吉林省,2017,80,,
220000,吉林省,2016,73,,
220000,吉林省,2015,73,,
220000,吉林省,2014,73,,
220000,吉林省,2013,69,,
220000,吉林省,2012,69,451659,248477
220000,吉林省,2011,69,446209.55,255892.666666667
220000,吉林省,2010,65,407529.1,227369
220000,吉林省,2009,65,386419.083333333,233005
220000,吉林省,2008,65,354543.883333333,220435
220000,吉林省,2007,,,
220000,吉林省,2006,,,
220000,吉林省,2005,,,
220000,吉林省,2004,,,
220000,吉林省,2003,,,
220000,吉林省,2002,,,
220000,吉林省,2001,,,
220000,吉林省,2000,,,
230000,黑龙江省,2019,108,,
230000,黑龙江省,2018,108,,
230000,黑龙江省,2017,107,,
230000,黑龙江省,2016,111,,
230000,黑龙江省,2015,101,,
230000,黑龙江省,2014,95,,
230000,黑龙江省,2013,90,,
230000,黑龙江省,2012,102,416168,232624
230000,黑龙江省,2011,94,438117.583333333,243607.5
230000,黑龙江省,2010,94,419095.866666667,170420
230000,黑龙江省,2009,93,407750.416666667,161925
230000,黑龙江省,2008,94,401576.9,157200
230000,黑龙江省,2007,,,
230000,黑龙江省,2006,,,
230000,黑龙江省,2005,,,
230000,黑龙江省,2004,,,
230000,黑龙江省,2003,,,
230000,黑龙江省,2002,,,
230000,黑龙江省,2001,,,
230000,黑龙江省,2000,,,
310000,上海市,2019,22,,
310000,上海市,2018,22,,
310000,上海市,2017,22,,
310000,上海市,2016,22,,
310000,上海市,2015,21,,
310000,上海市,2014,21,,
310000,上海市,2013,21,,
310000,上海市,2012,21,138385,83309
310000,上海市,2011,21,138010.083333333,72343.75
310000,上海市,2010,21,131432.916666667,85262
310000,上海市,2009,21,131467.166666667,91660
310000,上海市,2008,21,131854,86466
310000,上海市,2007,,,
310000,上海市,2006,,,
310000,上海市,2005,,,
310000,上海市,2004,,,
310000,上海市,2003,,,
310000,上海市,2002,,,
310000,上海市,2001,,,
310000,上海市,2000,,,
320000,江苏省,2019,121,,
320000,江苏省,2018,121,,
320000,江苏省,2017,122,,
320000,江苏省,2016,123,,
320000,江苏省,2015,123,,
320000,江苏省,2014,130,,
320000,江苏省,2013,128,,
320000,江苏省,2012,126,794598,582066
320000,江苏省,2011,126,785942.516666667,580799.6
320000,江苏省,2010,126,775020.783333333,569636
320000,江苏省,2009,131,768270.316666667,571053
320000,江苏省,2008,132,751363.166666667,578674
320000,江苏省,2007,,,
320000,江苏省,2006,,,
320000,江苏省,2005,,,
320000,江苏省,2004,,,
320000,江苏省,2003,,,
320000,江苏省,2002,,,
320000,江苏省,2001,,,
320000,江苏省,2000,,,
330000,浙江省,2019,112,,
330000,浙江省,2018,112,,
330000,浙江省,2017,112,,
330000,浙江省,2016,113,,
330000,浙江省,2015,113,,
330000,浙江省,2014,111,,
330000,浙江省,2013,110,,
330000,浙江省,2012,108,714622,464715
330000,浙江省,2011,107,713198.25,455373.483333333
330000,浙江省,2010,107,709854,445425
330000,浙江省,2009,106,694857.333333333,439824
330000,浙江省,2008,106,687024,414312
330000,浙江省,2007,,,
330000,浙江省,2006,,,
330000,浙江省,2005,,,
330000,浙江省,2004,,,
330000,浙江省,2003,,,
330000,浙江省,2002,,,
330000,浙江省,2001,,,
330000,浙江省,2000,,,
340000,安徽省,2019,107,,
340000,安徽省,2018,105,,
340000,安徽省,2017,104,,
340000,安徽省,2016,104,,
340000,安徽省,2015,106,,
340000,安徽省,2014,105,,
340000,安徽省,2013,105,,
340000,安徽省,2012,106,523253,183679
340000,安徽省,2011,106,519610.383333333,191931.866666667
340000,安徽省,2010,106,503775.116666667,228141
340000,安徽省,2009,104,481670.95,228870
340000,安徽省,2008,102,453286.833333333,238774
340000,安徽省,2007,,,
340000,安徽省,2006,,,
340000,安徽省,2005,,,
340000,安徽省,2004,,,
340000,安徽省,2003,,,
340000,安徽省,2002,,,
340000,安徽省,2001,,,
340000,安徽省,2000,,,
350000,福建省,2019,93,,
350000,福建省,2018,93,,
350000,福建省,2017,91,,
350000,福建省,2016,91,,
350000,福建省,2015,90,,
350000,福建省,2014,90,,
350000,福建省,2013,89,,
350000,福建省,2012,89,513651,259744
350000,福建省,2011,89,509810.516666667,260560.166666667
350000,福建省,2010,88,505774.733333333,250854
350000,福建省,2009,86,497290.716666667,234284
350000,福建省,2008,86,511906.616666667,230113
350000,福建省,2007,,,
350000,福建省,2006,,,
350000,福建省,2005,,,
350000,福建省,2004,,,
350000,福建省,2003,,,
350000,福建省,2002,,,
350000,福建省,2001,,,
350000,福建省,2000,,,
360000,江西省,2019,104,,
360000,江西省,2018,105,,
360000,江西省,2017,108,,
360000,江西省,2016,108,,
360000,江西省,2015,108,,
360000,江西省,2014,107,,
360000,江西省,2013,105,,
360000,江西省,2012,105,361176,193298
360000,江西省,2011,104,351805.75,186509.183333333
360000,江西省,2010,103,345481.95,179194
360000,江西省,2009,103,341044.583333333,172646
360000,江西省,2008,103,346394.45,173070
360000,江西省,2007,,,
360000,江西省,2006,,,
360000,江西省,2005,,,
360000,江西省,2004,,,
360000,江西省,2003,,,
360000,江西省,2002,,,
360000,江西省,2001,,,
360000,江西省,2000,,,
370000,山东省,2019,172,,
370000,山东省,2018,181,,
370000,山东省,2017,162,,
370000,山东省,2016,161,,
370000,山东省,2015,162,,
370000,山东省,2014,158,,
370000,山东省,2013,158,,
370000,山东省,2012,157,870889,482006
370000,山东省,2011,157,856328.25,474119.316666667
370000,山东省,2010,155,839382.116666667,476527
370000,山东省,2009,153,812968.15,450530
370000,山东省,2008,150,765791.416666667,440190
370000,山东省,2007,,,
370000,山东省,2006,,,
370000,山东省,2005,,,
370000,山东省,2004,,,
370000,山东省,2003,,,
370000,山东省,2002,,,
370000,山东省,2001,,,
370000,山东省,2000,,,
410000,河南省,2019,159,,
410000,河南省,2018,158,,
410000,河南省,2017,157,,
410000,河南省,2016,154,,
410000,河南省,2015,154,,
410000,河南省,2014,152,,
410000,河南省,2013,151,,
410000,河南省,2012,151,642466,298423
410000,河南省,2011,151,636000.166666667,297285.25
410000,河南省,2010,150,626071.916666667,289526
410000,河南省,2009,150,628505.666666667,291549
410000,河南省,2008,147,607943.916666667,290547
410000,河南省,2007,,,
410000,河南省,2006,,,
410000,河南省,2005,,,
410000,河南省,2004,,,
410000,河南省,2003,,,
410000,河南省,2002,,,
410000,河南省,2001,,,
410000,河南省,2000,,,
420000,湖北省,2019,96,,
420000,湖北省,2018,94,,
420000,湖北省,2017,90,,
420000,湖北省,2016,88,,
420000,湖北省,2015,87,,
420000,湖北省,2014,87,,
420000,湖北省,2013,87,,
420000,湖北省,2012,86,461345,230721
420000,湖北省,2011,85,447032.55,236298.25
420000,湖北省,2010,85,447360.066666667,235413
